0:一	-1:一
5:誰も	6:来ない
6:来ない	-1:来ない

0:そのうち	5:渡って
1:池の	2:上を
2:上を	5:渡って
3:さらさらと	5:渡って
4:風が	5:渡って
5:渡って	8:かかる
6:日が	8:かかる
7:暮れ	8:かかる
8:かかる	-1:かかる

0:腹が	2:減って来た
1:非常に	2:減って来た
2:減って来た	-1:減って来た

0:泣きたくても	2:出ない
1:声が	2:出ない
2:出ない	-1:出ない

0:仕方が	1:ない
1:ない	15:廻り始めた
2:何でも	15:廻り始めた
3:よいから	6:所まで
4:食物の	5:ある
5:ある	6:所まで
6:所まで	7:ある
7:ある	15:廻り始めた
8:こうと	10:して
9:決心を	10:して
10:して	11:そろり
11:そろり	15:廻り始めた
12:そろりと	15:廻り始めた
13:池を	15:廻り始めた
14:左りに	15:廻り始めた
15:廻り始めた	-1:廻り始めた

0:どうも	2:苦しい
1:非常に	2:苦しい
2:苦しい	-1:苦しい

0:そこを	1:我慢して
1:我慢して	3:這って行くと
2:無理やりに	3:這って行くと
3:這って行くと	9:出た
4:ようやくの	5:事で
5:事で	9:出た
6:何となく	7:人間臭い
7:人間臭い	8:所へ
8:所へ	9:出た
9:出た	-1:出た

0:ここへ	1:這入ったら
1:這入ったら	3:なると
2:どうにか	3:なると
3:なると	4:思って
4:思って	10:もぐり込んだ
5:竹垣の	6:崩れた
6:崩れた	7:穴から
7:穴から	10:もぐり込んだ
8:とある	9:邸内に
9:邸内に	10:もぐり込んだ
10:もぐり込んだ	-1:もぐり込んだ

0:縁は	2:もので
1:不思議な	2:もので
2:もので	10:餓死したかも知れんのである
3:もし	6:破れていなかったなら
4:この	5:竹垣が
5:竹垣が	6:破れていなかったなら
6:破れていなかったなら	10:餓死したかも知れんのである
7:吾輩は	10:餓死したかも知れんのである
8:ついに	10:餓死したかも知れんのである
9:路傍に	10:餓死したかも知れんのである
10:餓死したかも知れんのである	-1:餓死したかも知れんのである

0:一樹の	1:蔭とは
1:蔭とは	3:云った
2:よく	3:云った
3:云った	4:ものだ
4:ものだ	-1:ものだ

0:この	1:垣根の
1:垣根の	2:穴は
2:穴は	11:なっている
3:今日に	4:至るまで
4:至るまで	8:訪問する
5:吾輩が	8:訪問する
6:隣家の	7:三毛を
7:三毛を	8:訪問する
8:訪問する	9:時の
9:時の	10:通路に
10:通路に	11:なっている
11:なっている	-1:なっている

0:さて	7:分らない
1:邸へは	2:忍び込んだものの
2:忍び込んだものの	7:分らない
3:これから	6:善いか
4:先	6:善いか
5:どうして	6:善いか
6:善いか	7:分らない
7:分らない	-1:分らない

0:その	1:うちに
1:うちに	2:暗くなる
2:暗くなる	4:減る
3:腹は	4:減る
4:減る	6:寒し
5:寒さは	6:寒し
6:寒し	8:降って来るという
7:雨が	8:降って来るという
8:降って来るという	9:始末で
9:始末で	13:出来なくなった
10:もう	13:出来なくなった
11:一刻の	12:猶予が
12:猶予が	13:出来なくなった
13:出来なくなった	-1:出来なくなった

0:仕方が	1:ないから
1:ないから	3:明るくて
2:とにかく	3:明るくて
3:明るくて	4:暖かそうな
4:暖かそうな	5:方へ
5:方へ	7:あるいて行く
6:方へと	7:あるいて行く
7:あるいて行く	-1:あるいて行く

0:今から	1:考えると
1:考えると	8:おったのだ
2:その	3:時は
3:時は	8:おったのだ
4:すでに	7:這入って
5:家の	6:内に
6:内に	7:這入って
7:這入って	8:おったのだ
8:おったのだ	-1:おったのだ

0:ここで	8:遭遇したのである
1:吾輩は	8:遭遇したのである
2:彼の	3:書生以外の
3:書生以外の	4:人間を
4:人間を	6:見るべき
5:再び	6:見るべき
6:見るべき	7:機会に
7:機会に	8:遭遇したのである
8:遭遇したのである	-1:遭遇したのである

0:第一に	1:逢ったのが
1:逢ったのが	2:おさんである
2:おさんである	-1:おさんである

0:これは	12:抛り出した
1:前の	2:書生より
2:書生より	7:見るや
3:一層	4:乱暴な
4:乱暴な	5:方で
5:方で	7:見るや
6:吾輩を	7:見るや
7:見るや	12:抛り出した
8:否やいきなり	10:つかんで
9:頸筋を	10:つかんで
10:つかんで	12:抛り出した
11:表へ	12:抛り出した
12:抛り出した	-1:抛り出した

0:いや	3:思ったから
1:これは	2:駄目だと
2:駄目だと	3:思ったから
3:思ったから	8:任せていた
4:眼を	5:ねぶって
5:ねぶって	8:任せていた
6:運を	8:任せていた
7:天に	8:任せていた
8:任せていた	-1:任せていた

0:しかし	5:出来ん
1:ひもじいのと	2:寒いのには
2:寒いのには	5:出来ん
3:どうしても	5:出来ん
4:我慢が	5:出来ん
5:出来ん	-1:出来ん

0:吾輩は	6:這い上った
1:再び	4:見て
2:おさんの	3:隙を
3:隙を	4:見て
4:見て	6:這い上った
5:台所へ	6:這い上った
6:這い上った	-1:這い上った

0:すると	2:投げ出された
1:間もなくまた	2:投げ出された
2:投げ出された	-1:投げ出された

0:吾輩は	2:這い上り
