

4:猫にでも	5:出来ぬ

1:主人に	2:云わせると
6:ないそうで	14:鳴らしている
7:彼は	14:鳴らしている
8:友達が	9:来る
10:度に	14:鳴らしている
13:不平を	14:鳴らしている

0:吾輩が	3:住み込んだ
2:家へ	3:住み込んだ

0:どこへ	1:行っても
3:相手に	4:してくれ

1:珍重されなかったかは	6:分る
2:今日に	3:至るまで
4:名前さえ	5:つけてくれないのでも
5:つけてくれないのでも	6:分る

4:限り	6:入れてくれた
5:吾輩を	6:入れてくれた
8:傍に	9:いる
10:事を	11:つとめた

0:朝主人が	2:読む
1:新聞を	2:読む
3:ときは	8:乗る
7:上に	8:乗る

0:彼が	2:する
1:昼寝を	2:する
3:ときは	7:乗る
6:背中に	7:乗る

0:これは	8:やむを得んのである
8:やむを得んのである	8:やむを得んのである

0:その後	16:した
3:上	16:した
4:朝は	16:した
6:上	16:した
7:夜は	16:した
9:上	16:した
12:昼は	16:した
13:椽側へ	14:寝る
15:事と	16:した

4:夜に	5:入って
9:寝床へ	10:もぐり込んで
11:いっしょに	12:ねる

1:小供というのは	10:寝る
3:三つで	5:なると
4:夜に	5:なると
6:二人が	8:入って
7:一つ床へ	8:入って
9:一間へ	10:寝る

0:吾輩は	10:割り込むのであるが
1:いつでも	7:見出して
3:中間に	7:見出して
4:己れを	7:見出して
6:余地を	7:見出して
10:割り込むのであるが	18:なる
11:運悪く	15:醒ますが
13:一人が	15:醒ますが
14:眼を	15:醒ますが
17:事に	18:なる

0:小供は——	14:泣き出すのである
3:方が	6:来た
4:質が	6:来た
5:わるい——猫が	6:来た
7:猫が	8:来たと
10:夜中でも	14:泣き出すのである
11:何でも	14:泣き出すのである
13:声で	14:泣き出すのである
14:泣き出すのである	14:泣き出すのである

3:主人は	9:飛び出してくる
5:眼を	6:さまして
8:部屋から	9:飛び出してくる

1:せんだってなどは	4:叩かれた
2:物指で	4:叩かれた
3:尻ぺたをひどく	4:叩かれた

0:吾輩は	10:断言せざるを得ないようになった
1:人間と	2:同居して
2:同居して	4:観察すれば
3:彼等を	4:観察すれば
4:観察すれば	5:する
7:彼等は	10:断言せざるを得ないようになった
9:ものだと	10:断言せざるを得ないようになった
10:断言せざるを得ないようになった	10:断言せざるを得ないようになった

1:吾輩が	3:同衾する
5:ごときに	6:至っては

2:時は	12:押し込んだりする
3:人を	5:したり
4:逆さに	5:したり
6:頭へ	8:かぶせたり
7:袋を	8:かぶせたり
11:中へ	12:押し込んだりする

2:方で	5:しようものなら
4:手出しを	5:しようものなら
5:しようものなら	9:加える
6:家内総がかりで	7:追い廻して
8:迫害を	9:加える

0:この間も	4:磨いだら
2:畳で	4:磨いだら
3:爪を	4:磨いだら
5:細君が	7:怒って
6:非常に	7:怒って
8:それから	11:入れない
9:容易に	11:入れない
10:座敷へ	11:入れない

1:板の間で	3:顫えていても
2:他が	3:顫えていても

0:吾輩の	1:尊敬する

0:白君は	4:産まれたのである
2:子猫を	4:産まれたのである
3:四疋	4:産まれたのである
4:産まれたのである	4:産まれたのである

3:書生が	12:来たそうだ
4:三日目に	8:持って
5:そいつを	8:持って
7:池へ	8:持って
10:四疋ながら	11:棄てて

0:白君は	20:いわれた
1:涙を	2:流して
4:一部始終を	5:話した
6:上	19:剿滅せねばならぬと
8:我等猫族が	15:するには
10:愛を	15:するには
14:家族的生活を	15:するには
16:人間と	17:戦って
18:これを	19:剿滅せねばならぬと
19:剿滅せねばならぬと	20:いわれた

2:議論と	3:思う

2:三毛君などは	6:解していないと
